36031,Black Breath,United States,Active,2006,Death/Thrash Metal/Crossover/Crust,Slaves Beyond Death,2015,0.78
36043,Blood Label,Denmark,Active,2009,Death/Thrash Metal/Metalcore,Existence Expires,2011,0.17
36043,Blood Label,Denmark,Active,2009,Death/Thrash Metal/Metalcore,Skeletons,2014,0.33
36059,Brutal Mastication,United States,Active,1992,Death/Thrash Metal/Metalcore,Rage Uncontrolled,2003,0.7
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Breathe Fire to the Sun,2011,0.83
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Breathe Fire to the Sun,2011,0.65
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Breathe Fire to the Sun,2011,0.78
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Breathe Fire to the Sun,2011,0.8
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Slayer of Gods,2016,0.8
36064,Brymir,Finland,Active,2006,Symphonic/Melodic Death/Pagan Metal,Slayer of Gods,2016,0.4
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Mind Control,2008,0.31
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Mind Control,2008,0.73
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Mind Control,2008,0.16
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Offspring of Time,2010,0.84
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Offspring of Time,2010,1.0
36070,Burning the Masses,United States,Unknown,2005,Deathcore (early)| Technical Death Metal (later),Offspring of Time,2010,1.0
36072,Cadaverous Condition,Austria,Active,1990,Goregrind (early)| Death Metal/Neofolk (later),To the Night Sky,2006,0.89
36072,Cadaverous Condition,Austria,Active,1990,Goregrind (early)| Death Metal/Neofolk (later),Burn Brightly Alone,2011,0.84
36108,Coerced into Battle,United States,Split-up,2005,Melodic Death/Groove Metal/Metalcore,Enemy Mine,2007,0.4
36109,Coffin Dust,United States,Active,2010,Death/Thrash Metal/Crossover,Everything Is Dead,2016,0.49
36132,Cranial Incisored,Indonesia,Active,1998,Avant-garde Brutal Death Metal/Mathcore,Rebuild: The Unfinished Interpretation of Irrational Behavior,2003,0.82
36134,Craving,Germany,Active,2006,Melodic Death/Black Metal with Celtic folk influences,At Dawn,2013,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.65
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.94
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.87
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.85
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.92
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.94
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.81
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.84
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.75
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Blasphemy Made Flesh,1994,0.97
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.65
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.98
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.05
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.98
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.99
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.15
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.93
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.34
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.93
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.99
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),None So Vile,1996,0.72
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.81
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.71
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.92
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.44
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.49
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.98
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.85
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.87
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.62
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.89
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.69
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Whisper Supremacy,1998,0.77
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.2
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.37
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.28
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.84
